ponto,cidade,cnpj,tipo,raio
MARFRIG ITUPEVA -SP,Itupeva - SP,,CLIENTE,0
RIOFRIO MAIS ALIMENTOS IMPORTACAO EIRELI - RIO FRIOO2,Sao Joao de Meriti - RJ,,CLIENTE,0
IMPERIAL IMPORTACAO E EXPORTACAO LTDA - RB - IMPE2,Ribeirao das Neves - MG,,CLIENTE,0
POLI VITA DISTRIB GENEROS ALIM LTDA - POLI- VITA,Rio de Janeiro - rodoanel - RJ,,CLIENTE,0
FRIGO SERRA COMERCIO DE ALIMENTOS LTDA  - FRIGOSERRA,Teresopolis - RJ,,CLIENTE,0
RFG COMERCIO TRANSPORTE E SERVICOS LTDA - RO -RFG21,Guarulhos - SP,,CLIENTE,0
GR SERVICOS  E ALIMENTOS LTDA - AR - GR42 - PLATLOG,Belo Horizonte Capital - MG,,CLIENTE,0
COMERCIO MILANO BRASIL,Petropolis - RJ,,CLIENTE,0
Monaco Diesel CUIABA,Cuiaba Capital - MT,,MANUTENÇÃO,0
MECANICA TREVAO,Nova Alvorada do Sul - MS,,MANUTENÇÃO,0
JI PARANA - FRIGORIFICO RIO BEEF,Ji-Parana - RO,,FILIAL,0
Posto Arlei Pirapozinho,Pirapozinho - SP,,PONTO DE PARADA,0
FAZENDA SOLEDADE,Ielmo Marinho - RN,,CLIENTE,0
EMANUEL COMERCIO DE GENEROS ALIMENTICIOS LTDA,Rio de Janeiro Capital - RJ,,CLIENTE,0
MERCURIO ALIMENTOS S-A - MERCURIO,Ananindeua - PA,,CLIENTE,0
FORCE MEAT COM E DISTR DE CARNES E DERIV,Sao Joao de Meriti - RJ,,CLIENTE,0
FRIGORIFICO SUIBA LTDA - SUIBA,Paraiso - SP,,CLIENTE,0
JBS S-A - JBS 391,Indaiatuba - SP,,CLIENTE,0
JBS S-A - JBS 33,Barretos - SP,,CLIENTE,0
FRIGORIFICO CALAFATE LTDA,Belo Horizonte Capital - MG,,CLIENTE,0
FRIGORIFICO SUINO LEVE INDUSTRIA E COMERCIO LTDA - FRIGLEVE,Sao Carlos - SP,,CLIENTE,0
UNITRADING LOSGISTICA E EXPORTACAO LTDA - UNITRADING,Santos - SP,,CLIENTE,0
JBS S-A - JBS 99,Belford Roxo - RJ,,CLIENTE,0
FRIGORIFICO SERENO LTDA,Curitiba - PR,,CLIENTE,0
TRUCKS CONTROL -CAMPO GRANDE,Campo Grande Capital - MS,,MANUTENÇÃO,0
BALANCA NOVA ESPERANCA,Nova Esperanca - PR,,PONTO DE PARADA,0
FALLES E CIA LTDA  ME - FALLES,Sao Benedito - CE,,CLIENTE,0
ADEL ALIMENTOS - S.A - ADEEL,Para de Minas - MG,,CLIENTE,0
ORGANIZACAO MARINGA LTDA - MARINGA5,Nova Iguacu - RJ,,CLIENTE,0
SUPERPRIX LOJAS DE ALIMENTOS LTDA -SUPERPRIX20,Rio de Janeiro - rodoanel - RJ,,CLIENTE,0
ENTREPOSTO DE CARNES E DERIV BELL MAX LT - JE- BELL,Sao Paulo - SP,,CLIENTE,0
FOOD CENTER ALIMENTOS E BEBIDAS LTDA - FOODCEN,Sao Paulo - SP,,CLIENTE,0
JR MANZANO COM PROD ALIM LTDA ME - JR- JG,Sao Bernardo do Campo - SP,,CLIENTE,0
Caravela Acessorios,Maringa - PR,,MANUTENÇÃO,0
XTREME DIESSEL,Paicandu - PR,,MANUTENÇÃO,0
LAVA- JATO GANCH MARINGA,Maringa - PR,,MANUTENÇÃO,0
Autoglass - Maringa,Maringa - PR,,MANUTENÇÃO,0
Auto Mecanica Fernandiesel,Maringa - PR,,MANUTENÇÃO,0
FR Truck Center,Maringa - PR,,MANUTENÇÃO,0
Truk laser IGUARACU PR,Iguaracu - PR,,MANUTENÇÃO,0
Furgoes 2 Irmaos,Maringa - PR,,MANUTENÇÃO,0
Auto Eletrica Vieira,Maringa - PR,,MANUTENÇÃO,0
BONI PINTURAS,Cambe - PR,,MANUTENÇÃO,0
FREEAR - THERMO KING,Maringa - PR,,MANUTENÇÃO,0
CATAN COMERCIO DE CARNES LTDA - CATAN,Lencois Paulista - SP,,CLIENTE,0
Opergel Foods,Louveira - SP,,CLIENTE,0
MINERVA S.A - MINERVA54,Maracanau - CE,,CLIENTE,0
DOM GLUTAO - BURITI ALEGRE,Buriti Alegre - GO,,CLIENTE,0
UNIFRIGO DISTRIBUIDORA DE ALIMENTOS LTDA - UNIFRIGO,Rio de Janeiro - rodoanel - RJ,,CLIENTE,0
EMPORIO MEGA 100 COMERCIO DE ALIMENTOS  - MEGA  100,Cotia - SP,,CLIENTE,0
DISTRIBUIDORA DE CARNES SISSA LTDA - SISSA,Sorocaba - SP,,CLIENTE,0
MARCELO CARLINE DE OLIVEIRA - MCBACON,Franca - SP,,CLIENTE,0
DISTRIBUIDORA S J SAO GONCALO,Sao Goncalo - RJ,,CLIENTE,0
DISTRIBUIDORA S J  AV ABILIO,Sao Goncalo - RJ,,CLIENTE,0
DISTRIBUIDORA SJ AV. ANA PAULA,Sao Goncalo - RJ,,CLIENTE,0
DISTRIBUIDORA S J AV PREFEITO MILTON,Itaborai - RJ,,CLIENTE,0
helolub,Maringa - PR,,MANUTENÇÃO,0
Entreposto e casa de carnes sao judas tadeu lda,Jundiai - SP,,CLIENTE,0
AGROMASS JUNDIAI,Jundiai - SP,,CLIENTE,0
SUPERMERCADO DELTA MAX LTDA - DELTA13,Piracicaba - SP,,CLIENTE,0
MERCURIO ALIMENTOS S-A - MERCURIO,Castanhal - PA,,CLIENTE,0
Cargill Agricola S-A - Patrocinio,Patrocinio - MG,,CLIENTE,0
CJM CONQUISTA COMERCIO ATACADISTA DE PRODUTOS DE ORIGEM,Toledo - PR,,CLIENTE,0
Nova Distribuidora e Industria de Alimentos Seropedica 42 Ltda,Seropedica - RJ,,CLIENTE,0
BRF S.A. SADIA,Jundiai - SP,,CLIENTE,0
COMERCIO TUDO EM CARNES LIMITADA - TUDO CARNES,Santo Andre - SP,,CLIENTE,0
REDE KRILL SUPERMERCADO  LTDA,Cubatao - SP,,CLIENTE,0
MOGI GUACU,Araras - SP,,CLIENTE,0
ACOGUE E MERCIARIA NOSSA SENHORA APARECIDA  Supermarket,Rio de Janeiro - rodoanel - RJ,,CLIENTE,0
POSTO Graal Embaixador,Resende - RJ,,ABASTECIMENTO,0
COPROSUL COMERCIO IMPOR E EXPORT LTDA - COPROSUL,Sao Paulo - SP,,CLIENTE,0
SENDAS DISTRIBUIDORA S-A- ASSAI314,Foz do Iguacu - PR,,CLIENTE,0
BARRA COMERCIAL  DE CARNES LTDA - BARRACAR,Fortaleza Capital - CE,,CLIENTE,0
MINERVA S.A -MINERVA 54,Maracanau - CE,,CLIENTE,0
FRIGORIFICO JAO IND. COM EIRELI - JAO,Cajamar - SP,,CLIENTE,0
MIX TRANSPORTE LTDA,Maracanau - CE,,CLIENTE,0
Q - BURGUER COMERCIO DE CARNES E DERIVADOS  LTDA,Belo Horizonte Capital - MG,,CLIENTE,0
MIX ATACAREJO ICOARACI,Belem Capital - PA,,CLIENTE,0
CONDOMINIO JM3,Marituba - PA,,CLIENTE,0
Posto de Molas Carretao,Juruena - MT,,MANUTENÇÃO,0
ESTACIONAMENTO APETITO FOODS LTDA,Sao Paulo - SP,,AREA DE DESCARREGAMENTO,0
Estacionamento Amigo Caminhoneiro,Nova Iguacu - RJ,,CLIENTE,0
Posto Marajo,Frutal - MG,,ABASTECIMENTO,0
RLS ATACADO E DISTRIBUIDORA S-A - RSL,Patos - PB,,CLIENTE,0
BENEDITO ARAUJO MARTINS EIRELI - ARAUJOFRIOS,Governador Dix-Sept Rosado - RN,,CLIENTE,0
INDUSTRIA E COMERCIO DE CHARQUE JS LTDA,Aracariguama - SP,,CLIENTE,0
Mister Beef INDUSTRIA DE ALIMENTOS  - MISTERBEEF,Jau - SP,,CLIENTE,0
CORINGA ALIMENTOS - CORINGA,Sao Paulo - SP,,CLIENTE,0
T & C FOODS COMERCIO E DISTRIBUICAO - Frio - Anhanguera,Sao Paulo - SP,,CLIENTE,0
BISPO DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA - BISPO,Jose Bonifacio - SP,,CLIENTE,0
Minerva Foods - JOSE BONIFACIO,Jose Bonifacio - SP,,CLIENTE,0
NOBREDO COMERCIO E LOGISTICA LTDA- NOBREDO,Guarapari - ES,,CLIENTE,0
BMG FOODS COLORADO - PR,Colorado - PR,,FILIAL,0
CENTRO DE DISP DE ALIM PLENITUDE  EIRELI  PLENI8,Carapicuiba - SP,,CLIENTE,0
MERCADO DE CCARNES NOVA GERACAO EIRELI - AD -GERA3,Cotia - SP,,CLIENTE,0
BRASILEIRAO ATAC COM DE PROD ALIM LTDA - SO- UNIVER4,Taboao da Serra - SP,,CLIENTE,0
BRASILEIRAO ATAC COM DE PROD LIM LTDA,Sao Paulo - SP,,CLIENTE,0
MERCADO  DE CARNES NOVA GERACAO EIRELI-AD GERA5,Osasco - SP,,CLIENTE,0
TALENTOS SUPERMERCADO LTDA,Sao Paulo - SP,,CLIENTE,0
MERCADO CARNE NOVA GERACAO  EIRELLI,Sao Paulo - SP,,CLIENTE,0
TALENTOS SUPERMERCADO LTDA - AD -TALE,Sao Paulo - SP,,CLIENTE,0
BRASILEIRAO ATC COM DE PROD ALIM LTDA,Carapicuiba - SP,,CLIENTE,0
CENTRO DE DIST  DE ALIMENTOS PLENITUDE EIRELI,Carapicuiba - SP,,CLIENTE,0
CENTRO DE DIST DE ALIM PLENITUDE 02,Carapicuiba - SP,,CLIENTE,0
MERCADO CARNES NOVA GERACAO EIRELI-AD- GERA,Carapicuiba - SP,,CLIENTE,0
JBS LINS,Lins - SP,,CLIENTE,0
JOSE WELLINGTON SILVA MAGALHAES LEITE - NARCIZO,Lagoa Grande - PE,,CLIENTE,0
AREA DESCANSO SINUELO,Araquari - SC,,MANUTENÇÃO,0
