ponto,cidade,cnpj,tipo,raio
BMG FOODS CAMPO GRANDE- MS,Campo Grande Capital - MS,,FILIAL,0
NOSTRO BEEF ALIMENTOS MARINGA - PR,Maringa - PR,,MATRIZ,0
NOSTRO BEEF ALIMENTOS SAO JOSE - SC,Sao Jose - SC,,FILIAL,0
NOSTRO BEEF ALIMENTOS PONTA PORA - MS,Ponta Pora - MS,,FILIAL,0
UNIAO CASINGS COLINA - SP.,Colina - SP,,MATRIZ,0
UNIAO CASINGS COLINA - SP,Colina - SP,,FILIAL,0
UNIAO CASINGS ITAJAI - SC,Itajai - SC,,FILIAL,0
BETAMPEX-BRA RIO DE JANEIRO - RJ,Rio de Janeiro Capital - RJ,,MATRIZ,0
BETAMPEX-BRA SAO LOURENCO - MG,Sao Lourenco - MG,,FILIAL,0
BETAMPEX-BRA SAO JOSE - SC,Sao Jose - SC,,FILIAL,0
BMG AGRICOLA ENTRE RIOS DO OESTE - PR,Entre Rios do Oeste - PR,,MATRIZ,0
FRIGORIFICO UNIBEEF COLORADO - PR,Colorado - PR,,MATRIZ,0
BMG TRANSPORTES ENTRE RIOS DO OESTE - PR,Entre Rios do Oeste - PR,,FILIAL,0
BMG FOODS JURUENA - MT.,Juruena - MT,,FILIAL,0
BMG TRANSPORTES VILA BELA DA SANTISSIMA TRINDADE - MT,Vila Bela da Santissima Trindade - MT,,FILIAL,0
DISTRIBUIDORA DE CARNES VALEMOGI  - LEME - SP,Leme - SP,,MATRIZ,0
BMG FOODS NOVA LONDRINA - PR,Nova Londrina - PR,,FILIAL,0
BMG FOODS IBIUNA - SP,Ibiuna - SP,,FILIAL,0
BMG FOODS RIBEIRAO PRETO - SP,Ribeirao Preto - SP,,FILIAL,0
BMG FOODS MANAUS - AM,Manaus - AM,,FILIAL,0
BMG FOODS CURITIBA - PR,Curitiba - PR,,FILIAL,0
CEG BRASIL FOODS FRIGORIFICO S-A CURITIBA - PR,Curitiba - PR,,CLIENTE,0
BMG FOODS MARINGA - PR,Maringa - PR,,FILIAL,0
BMG FOODS VILA BELA DA SANTISSIMA TRINDADE  -  MT,Vila Bela da Santissima Trindade - MT,,FILIAL,0
BMG FOODS GRAO PARA - SC,Grao Para - SC,,FILIAL,0
BMG FOODS SAO LOURENCO - MG,Sao Lourenco - MG,,FILIAL,0
ROSIL INDUSTRIA E COMERCIO LTDA BLUMENAU - SC,Blumenau - SC,,CLIENTE,0
3GX COMERCIO DE ALIMENTOS LTDA VALINHOS - SP,Valinhos - SP,,CLIENTE,0
BMG FOODS BELO HORIZONTE - MG,Belo Horizonte Capital - MG,,FILIAL,0
BMG FOODS RIO DE JANEIRO - RJ,Rio de Janeiro Capital - RJ,,FILIAL,0
BMG FOODS CUIABA - MT,Cuiaba Capital - MT,,FILIAL,0
FRIDEL FRIGORIFICO CONTAGEM - MG,Contagem - MG,,FILIAL,0
COMERCIAL DE ALIMENTOS PRATA EIRELLI BRASILIA - DF,Brasilia - DF,,MATRIZ,0
INDUSTRIA FRIGORIFICO BOA CARNE COLIDER - MT,Colider - MT,,MATRIZ,0
B F S LTDA INDAIATUBA - sp,Indaiatuba - SP,,MATRIZ,0
SUPERMERCADOS ALVORADA ITABORAI - RJ,Itaborai - RJ,,MATRIZ,0
FRISACRE FRIGORIFICO JANDIRA - SP,Jandira - SP,,FILIAL,0
MULT BEEF COMERCIAL BRODOWSKI - SP,Brodowski - SP,,MATRIZ,0
BERFRIGO ALIMENTOS IBATE - SP,Ibate - SP,,MATRIZ,0
EMBUTIDOS PRATENSE NOVA PRATA - RS,Nova Prata - RS,,MATRIZ,0
FRIGORIFICO BETTER BEEF RANCHARIA - SP,Rancharia - SP,,FILIAL,0
BMG FOODS CAMPINAS - SP,Campinas - SP,,FILIAL,0
BMG FOODS PAICANDU - PR,Paicandu - PR,,FILIAL,0
FRIGORIFICO SILVA INDUSTRIA SANTA MARIA - RS,Santa Maria - RS,,MATRIZ,0
BMG FOODS CAJURU -SP,Cajuru - SP,,FILIAL,0
CENTRO OESTE CARNES E DERIVADOS - GUARULHOS - SP,Guarulhos - SP,,CLIENTE,0
